patron_record_num,patron_barcode,item_record_num,item_barcode,checkout_gmt,due_gmt
3614,20109100149,32502,000031827,"2024-03-21 16:58:47","2024-05-06 23:59:00"
28303,20109100202,34829,000034591,"2024-03-21 16:59:11","2024-05-06 23:59:00"
28303,20109100202,34824,000034596,"2024-03-21 16:59:12","2024-05-06 23:59:00"
489,02028010,25112,000022757,"2024-03-22 08:05:07","2024-05-07 23:59:00"
489,02028010,760,000006992,"2024-03-22 08:05:12","2024-05-07 23:59:00"
489,02028010,25329,000022858,"2024-03-22 08:05:46","2024-05-07 23:59:00"
12473,22105100020,1382,000000537,"2024-03-22 09:34:06","2024-05-07 23:59:00"
28020,21104100061,32704,000032421,"2024-03-22 10:03:48","2024-05-07 23:59:00"
16592,20102100009,25183,000024676,"2024-03-22 10:05:49","2024-05-07 23:59:00"
1954,22108100021,9451,000013713,"2024-03-22 11:09:09","2024-05-07 23:59:00"
1954,22108100021,8925,000012942,"2024-03-22 11:09:11","2024-05-07 23:59:00"
1954,22108100021,21023,000012966,"2024-03-22 11:09:12","2024-05-07 23:59:00"
28887,23107600095,28901,000028645,"2024-03-22 11:32:49","2024-05-07 23:59:00"
28887,23107600095,27656,000028400,"2024-03-22 11:32:50","2024-05-07 23:59:00"
10720,21106100547,26196,000025457,"2024-03-22 11:39:19","2024-05-07 23:59:00"
10720,21106100547,32013,000032032,"2024-03-22 11:39:42","2024-05-07 23:59:00"
29314,23103100135,33405,000033324,"2024-03-22 11:53:34","2024-05-07 23:59:00"
29314,23103100135,32280,000031666,"2024-03-22 11:53:56","2024-05-07 23:59:00"
11597,21103100706,29373,000028613,"2024-03-22 14:39:58","2024-05-07 23:59:00"
2624,22105100131,1384,000000547,"2024-03-22 14:55:55","2024-05-07 23:59:00"
22206,22105100038,1383,000000546,"2024-03-22 15:05:18","2024-05-07 23:59:00"
413,01059002,35376,000035330,"2024-03-22 15:24:06","2024-03-24 23:59:00"
319,01007023,29605,000027875,"2024-03-22 15:48:31","2024-05-07 23:59:00"
319,01007023,33224,000033151,"2024-03-22 15:48:32","2024-05-07 23:59:00"
