Bib_ids,Title,Author10,Author11,Author12,Author20,Author21,Author22,Author23,Author24,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,DDC,DDC1,DDC2,Publisher,Publish_year,Lang,Time_create
362,Giáo trình hệ thống cung cấp điện,Trương Minh Tấn,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Hệ thống điện,-1,-1,-1,-1,62131,6,621,xâydựng,6,-1,1715834396
363,Giáo trình hóa keo,Nguyễn Tuyên,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Hoá keo,-1,-1,-1,-1,541345,5,541,khoahọcvàkỹthuật,9,-1,1715834396
364,Giáo trình hoá lí,Nguyễn Đình Huề,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Hoá lí,Nhiệt động lực học,-1,-1,-1,54136,5,541,giáodục,8,-1,1715834396
365,Giáo trình hóa sinh học sơ sở,Phạm Thị Trân Châu,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Hoá sinh học,Trao đổi chất,-1,-1,-1,572,5,572,giáodục,8,-1,1715834396
366,Giáo trình kế toán quản trị doanh nghiệp,-1,-1,-1,Đoàn Xuân Tiên,Nguyễn Đình Đỗ,Nguyễn Viết Lợi,Trương Thị Thủy,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Doanh nghiệp,Kế toán,Quản trị,-1,-1,6581511,6,658,tàichính,15,-1,1715834396
367,Giáo trình kiểm định và truy xuất nguồn gốc thực phẩm,-1,-1,-1,Vũ Hồng Sơn,Đỗ Biên Cương,Hoàng Quốc Tuấn,Trương Quốc Phong,Nguyễn Thị Minh Tú,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Công nghệ thực phẩm,Kiểm định chất lượng,Nguồn gốc,-1,-1,6646,6,664,báchkhoahànội,8,-1,1715834396
368,Giáo trình kinh tế thương mại,Đặng Đình Đào,-1,-1,Hoàng Đức Thân,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kinh tế thương mại,Quản lý kinh tế,Quản lý nhà nước,-1,-1,381,3,381,đạihọckinhtếquốcdân,5,-1,1715834396
369,Giáo trình kỹ thuật chuyển mạch và tổng đài số,Nguyễn Thanh Hà,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kỹ thuật,Tổng đài,Viễn thông,-1,-1,621387,6,621,khoahọcvàkỹthuật,15,-1,1715834396
370,Giáo trình kỹ thuật điều khiển tự động,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Điều khiển tự động,Kĩ thuật,-1,-1,-1,6298,6,629,xâydựng,11,-1,1715834396
371,Giáo trình Kỹ thuật lập trình hướng đối tượng bằng C++,Nguyễn Tuấn Anh,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Giáo trình,Ngôn ngữ C++,Ngôn ngữ lập trình,-1,-1,005133,0,005,giáodục,8,-1,1715834396
372,Giáo trình kỹ thuật soạn thảo văn bản kinh tế và quản trị doanh nghiệp,Lương Văn Úc,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kinh tế,Quản trị doanh nghiệp,Soạn thảo văn bản,-1,-1,351597,3,351,đạihọckinhtếquốcdân,12,-1,1715834396
373,Giáo trình lập trình Android :,Lê Hoàng Sơn,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Lập trình,-1,-1,-1,-1,00513,0,005,xâydựng,6,-1,1715834396
374,Giáo trình lập trình cơ sở,Lê Đắc Nhường,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Lập trình,Tin học,-1,-1,-1,0051,0,005,xâydựng,6,-1,1715834396
375,Giáo trình lập trình ứng dụng WEB,Hồ Văn Lâm,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Lập trình ứng dụng,Website,-1,-1,-1,00676,0,006,xâydựng,5,-1,1715834396
376,Giáo trình logic học và phương pháp học tập nghiên cứu khoa học,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Giáo trình,Học tập,Logic học,Nghiên cứu khoa học,Phương pháp,160711,1,160,giáodục,6,-1,1715834396
377,Giáo trình luật sở hữu trí tuệ,Lê Đình Nghị,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Luật sở hữu trí tuệ,Pháp luật,-1,-1,-1,346597,3,346,giáodục,7,-1,1715834396
378,Giáo trình mạch điện,Phạm Văn Minh,-1,-1,Nguyễn Bá Khá,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Mạch điện,-1,-1,-1,-1,6213192,6,621,giáodục,11,-1,1715834396
379,Giáo trình Marketing căn bản,Trần Minh Đạo,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Marketing,-1,-1,-1,-1,6588,6,658,đạihọckinhtếquốcdân,11,-1,1715834396
380,Giáo trình máy và thiết bị chế biến lương thực,Tôn Thất Minh,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Chế biến lương thực,Máy và thiết bị,-1,-1,-1,664002,6,664,báchkhoahànội,11,vie,1715834396
381,Giáo trình môi trường và con người,Nguyễn Xuân Cự,-1,-1,Nguyễn Thị Phương Loan,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Bảo vệ môi trường,Con người,Môi trường,Ô nhiễm môi trường,Sinh thái,5775,5,577,giáodục,10,-1,1715834396
382,Giáo trình nghiệp vụ xuất nhập khẩu,Đàm Quang Vinh,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,Nghiệp vụ,Nhập khẩu,Xuất khẩu,-1,-1,382,3,382,giáodục,12,-1,1715834396
