Bib_ID,item_barcode,"Nhan đề","Tác giả","Nhà xuất bản","Năm xuất bản"
423,000000610,"Kỹ năng thương lượng : Cẩm nang kinh doanh / Bích Nga, Tấn Phước, Phạm Ngọc Sáu - dịch; Nguyễn Văn Quì - h.đ.","Trần, Thị Bích Nga | Harvard Business Review","Tổng hợp TP. Hồ Chí Minh,",2016
424,000000674,"Kỹ nghệ phần mềm nâng cao /  Lê Văn Phùng, Lê Hương Giang","Lê, Văn Phùng","Thông tin và truyền thông,",2015
425,000000465,"Kỹ thuật điện /  Đặng Văn Đào, Lê Văn Doanh","Đặng, Văn Đào","Giáo dục,",2016
426,000000477,"Kỹ thuật điện /  Đặng Văn Đào, Lê Văn Doanh","Đặng, Văn Đào","Khoa học tự nhiên và công nghệ,",2014
427,000000469,"Kỹ thuật điện tử /  Đỗ Xuân Thụ ... [và những người khác]",,"Giáo dục Việt Nam,",2014
428,000000564,"Kỹ thuật điều khiển tự động.  Bùi Quý Lực","Bùi, Quý Lực","Khoa học và kỹ thuật,",2011
429,000000431,"Kỹ thuật đo lường điện và các thuật toán đo phi điện /  Đặng Văn Chí","Đặng, Văn Chí","Xây dựng,",2019
430,000000657,"Kỹ thuật lập trình cở sở với ngôn ngữ C/C++ /  Dương Thăng Long, Trương Tiến Tùng","Dương, Thăng Long","Khoa học và kỹ thuật,",2015
431,000000496,"Kỹ thuật mạch điện tử II /  Nguyễn Viết Nguyên","Nguyễn, Viết Nguyên","Giáo dục,",2010
432,000000215,"Kỹ thuật may cơ bản : Sách chuyên khảo / Nguyễn Thị Lệ","Nguyễn, Thị Lệ","Giáo dục,",2017
433,000000568,"Kỹ thuật Robot /  Đào Văn Hiệp","Đào, Văn Hiệp","Khoa học và kỹ thuật,",2013
434,000001282,"Kỹ thuật tách và tinh chế trong hóa học /  Phan Đình Châu, Vũ Bình Dương","Phan, Đình Châu","Khoa học và kỹ thuật,",2018
435,000000151,"Kỹ thuật xử lý chất thải rắn sinh hoạt : Sách chuyên khảo / Đào Đình Thuần","Đào, Đình Thuần","Giáo dục,",2018
436,000001450,"Làm chủ nghệ thuật bán hàng /  Tom Hopkins; Nguyễn Như Uyển Linh - biên dịch","Hopkins, Tom","Tổng hợp TP. Hồ Chí Minh,",2018
437,000000364,"Làm đĩ /  Vũ Trọng Phụng","Vũ, Trọng Phụng","Văn Học,",2018
438,000000251,"Làm sạch mạch và máu /  Nishi Katsuzo; Trương Thị Thảo - dịch","Katsuzo, Nishi","Lao động,",2019
439,000000391,"Làm thế nào để tăng lương? : 17 nguyên tắc thành công của nhà tư bản vĩ đại người Mỹ Andrew Carnegie / Napoleon Hill, Andrew Carnegie; Linh Phương - dịch","Hill, Napoleon","Lao động Xã hội,",2015
440,000000243,"Lãnh đạo bằng sức mạnh trí tuệ cảm xúc /  Daniel Goleman ... [và những người khác]",,"Tổng hợp TP. Hồ Chí Minh,",2019
441,000001456,"Lãnh đạo và sự tự lừa dối : Giải pháp giúp bạn thoát khỏi ""chiếc hộp"" của mình / The Arbinger Institute; Dịch: Thanh Vân, Minh Hà, Việt Hà, An Bình","The Arbinger Institute","Tổng hợp Thành phố Hồ Chí Minh,",2017
442,000000296,"Lão hạc : Danh tác văn học việt nam ",,"Văn Học,",2018
443,000001289,"Lập dự án và thiết kế nhà máy trong công nghiệp thực phẩm và công nghiệp sinh học /  Hoàng Đình Hòa, Phạm Tuấn Anh","Hoàng, Đình Hòa","Đại học Bách Khoa Hà Nội,",2017
444,000001493,"Lập, đọc, phân tích và kiểm tra báo cáo tài chính : Sách chuyên khảo / Trần Mạnh Dũng chủ biên ... [và những người khác]",,"Tài chính,",2017
445,000000301,"Lâu đài bị phù phép /  E. Nesbi; Hoàng Duy dịch","Nesbit, E.","Dân Trí,",2018
