Bib_ID,item_barcode,"Nhan đề","Tác giả","Nhà xuất bản","Năm xuất bản"
1609,000016894,"Froefessional Ado.net lập trình và ứng dụng : Lập trình chuyên nghiệp cùng các chuyên gia / Nguyễn Tiến ... [và những người khác]",,"Thống kê,",2002
1610,000016167,"Hướng dẫn sử dụng Microsoft Excel Visual Basic For Applications : Version 5 For Windows / Jacobson Reed , Trí Hạnh dịch","Jacobson, Reed","Nxb. Trẻ,",2000
1611,000017022,"Oracle8i toàn tập : Chỉ dẫn đầy đủ cho người mới bắt đầu / Nguyễn Ngọc Tuấn","Nguyễn, Ngọc Tuấn","Thống kê,",2000
1612,000016370,"PL/SQL Oracle.  Nguyễn Ngọc Minh, Hoàng Đức Hải, Đoàn Thiện Ngân","Nguyễn, Ngọc Minh","Thống kê,",2006
1613,000017356,"Visual Basic Oracle 8 : Giáo trình bộ môn toán tin / Nhóm tác giả Elicom","Nhóm tác giả Elicom","Thống kê,",2001
1614,000016707,"Microsoft SQL Server : Hoạch định và xây dựng cơ sở dữ liệu cao cấp / Lê Minh Trung, Trương Văn Thiện","Lê, Minh Trung","Thống kê,",1999
1615,000017116,"Microsoft SQL Server 7.0 /  Trần Văn Tư, ..[và những người khác]","Trần, Văn Tư","Thống kê,",2000
1616,000016844,"Quản lý cơ sở dữ liệu với Microsoft SQL Server 2005 /  Nguyễn Nam Thuận, Lữ Đức Hào","Nguyễn, Nam Thuận","Giao thông Vận tải,",2006
1617,000017069,"Lập trình với Access 2000 /  Trần Văn Tư, Nguyễn Ngọc Tuấn","Trần, Văn Tư","Thống kê,",2000
1618,000017014,"Microsoft Access 2000 lập trình ứng dụng cơ sở dữ liệu.  Nguyễn Đình Tê ... [và những người khác]",,"Giáo dục,",2001
1619,000016008,"Thực hành quản lý cơ sở dữ liệu với Microsoft Access 2002 /  Lữ Đức Hào","Lữ, Đức Hào","Thống kê,",2002
1620,000016017,"Thiết kế và quản lý cơ sở dữ liệu với Oracle /  Thuận Thành","Thuận Thanh","Thanh niên,",2005
1621,000016289,"Oracle 8 Net 8 for Windows NT và Windows 95/98 /  Lê Minh Trí","Lê, Minh Trí","Nxb. Trẻ,",2000
1622,000016285,"SQL* Plus for Windows NT và Windows 95/98 /  Lê Minh Trí","Lê, Minh Trí","Nxb. Trẻ,",2000
1623,000016910,"Tự bảo mật máy tính của bạn hiệu quả nhất : Hướng dẫn cách bảo mật windows email, internet và mạng không dây / Nguyễn Nam Thuận","Nguyễn, Nam Thuận","Hồng Đức,",2008
1624,000017198,"An toàn thông tin : Mạng máy tính, truyền tin số và truyền dữ liệu / Thái Hồng Nhị, Phạm Minh Việt","Thái, Hồng Nhị","Khoa học và kỹ thuật,",2004
1625,000016006,"Bảo mật mạng: Windows NT/95/98/2000/Unix - Linix - Novell : Các giải pháp kỹ thuật / Nguyễn Tiến, Đặng Xuân Hường, Nguyễn Văn Hoài","Nguyễn, Tiến","Thống kê,",2000
1626,000009080,"Bảo mật và tối ưu trong Red Hat Linux /  Trần Thạch Tùng, Hoàng Đức Hải, Trần Tiến Dũng","Trần, Thạch Tùng","Lao động - Xã hội,",2002
1627,000016954,"Tự học bảo mật và quản trị mạng /  Trí Việt, Hà Thành","Trí Việt","Văn hóa thông tin,",2009
1628,000016781,"Từng bước khám phá an ninh mạng Hack Internet Os và bảo mật.  Vũ Đình Cường, Phương Lan","Vũ, Đình Cường","Lao động - Xã hội,",2008
1629,000013753,"Shocking the Web : Everything you need to create interactive multimedia / Cathy Clarke, Lee Swearingen, David K. Anderson","Clarke, Cathy","Macromedia Press,",1997
1630,000016095,"Tự học cách tấn công và phòng thủ trên máy vi tính /  Trí Việt, Hà Thành","Trí Việt","Văn hóa thông tin,",2009
1631,000016599,"Adobe PageMaker 7.0 toàn tập /  Công Bình, Văn Cương","Công Bình","Thống kê,",2001
1632,000017077,"Adobe Illustrator 8.0 : Đồ họa vi tính / Nguyễn Việt Dũng ... [và những người khác]",,"Giáo dục,",2000
1633,000016081,"Hướng dẫn sử dụng Swish : Các công cụ hỗ trợ thiết kế Web làm kỹ xảo đầu băng và soạn giáo trình điện tử / Phạm Quang Huy","Phạm, Quang Huy","Thống kê,",2003
1634,000017343,"Trí tuệ nhân tạo : Các cấu trúc và chiến lược giải quyết vấn đề. George F. Luger ... [và những người khác]",,"Thống kê,",2001
1635,000017434,"Sử dụng 3DS Max thiết kế mô hình nhân vật /  Lưu Triều Nguyên, Nguyễn Văn Hùng, Hoàng Đức Hải","Lưu, Triều Nguyên","Lao động - Xã hội,",2002
1636,000009064,"Autocad 2002 căn bản và chuyên sâu : Căn bản / VN - Guide",VN-Guide,"Thống kê,",2002
1637,000016736,"Bài tập thiết kế mô hình ba chiều với AutoCAD 2000 : Đơn vị theo hệ Mét, có thể sử dụng với các release 14, 13 và 12 / Nguyễn Hữu Lộc","Nguyễn, Hữu Lộc","Nxb. Tp. Hồ Chí Minh,",2000
1638,000017376,"Hoạt hình và hiệu ứng Flash /  Nguyễn Trường Sinh, Lê Minh Hoàng, Hoàng Đức Hải","Nguyễn, Trường Sinh","Lao động - Xã hội,",2005
1639,000017350,"Đồ hoạ máy tính và mô hình hóa hình học /  Vera B. Anand; Nguyễn Hữu Lộc","Vera B, AnAnD","Tổng hợp TP HCM,",2000
1640,000017221,"Đồ hoạ và multimedia trong văn phòng với Microsoft PowerPoint 2000 : Giáo trình ứng dụng tin học / Nguyễn Đình Tê ... [và những người khác]",,"Giáo dục,",2000
1641,000016732,"Nhập môn đồ họa máy tính /  Lương Chi Mai, Huỳnh Thị Thanh Bình","Lương, Chi Mai","Khoa học và kỹ thuật,",2000
1642,000016117,"Đồ họa máy tính trong không gian ba chiều : Lý thuyết và thực hành / Trần Giang Sơn","Trần, Giang Sơn","Khoa học và kỹ thuật,",2008
1643,000016330,"Đồ họa máy tính trong không gian hai chiều : Lý thuyết và thực hành / Trần Giang Sơn","Trần, Giang Sơn","Khoa học và kỹ thuật,",2008
1644,000016496,"Hướng dẫn tự học Revit Architecture 2008 : Thiết kế và xây dựng mô hình nhà chuyên nghiệp trong môi trường 2D &amp; 3D. Trần Nguyễn Hoài Linh","Trần, Nguyễn Hoài Linh","Hồng Đức,",2009
1645,000016389,"Phục hồi ảnh nhanh và dễ với Photoshop 9.0 /  Ánh Tuyết, Quang Hân","Ánh, Tuyết","Thống kê,",2007
1646,000017078,"Kỹ thuật đồ họa /  Lê Tấn Hùng, Huỳnh Quyết Thắng","Lê, Tấn Hùng","Khoa học và kỹ thuật,",2000
1647,000016013,"Tạo chữ đẹp với Photoshop nhanh và dễ /  Phạm Quang Huy, Quang Huấn","Phạm, Quang Huy","Thống kê,",2001
1648,000016211,"Tạo mô hình với Softimage 3D /  Lương Quỳnh Mai, Nguyễn Minh Hiệp, Nguyễn Minh Hòa","Lương, Quỳnh Mai","Nxb. Trẻ,",2001
1649,000017284,"Tự học photoshop CS 2 và cách chỉnh sửa trên photoshop /  Trí Việt, Hà Thành","Trí Việt","Văn hóa thông tin,",2009
1650,000016892,"Tin học văn phòng 2010 tự học photoshop CS 4 /  Trí Việt, Hà Thành","Trí Việt","Văn hóa thông tin,",2010
1651,000016863,"Tự học Photoshop cs2 và cách chỉnh sửa ảnh trên photoshop /  Trí Việt, Hà Thành","Trí Việt","Văn hóa thông tin,",2009
1652,000016144,"Thực hành và ứng dụng Photoshop 5 : Làm chủ các công cụ mới của photoshop 5 thật dễ dàng / Nguyễn Tiến, Nguyễn Hữu Bình, Nguyễn Văn Hoài",,"Giáo dục,",1999
1653,000017366,"Hướng dẫn tự học mạng chuyển đổi đa tầng Cisco /  Thuận Thành","Thành Thuận","Thanh niên,",2005
1654,000016162,"Lập trình ứng dụng Web Internet và mạng không dây.  Lê Tấn Hùng, ... [và nhứng người khác]",,"Khoa học và kỹ thuật,",2006
1655,000016722,"Biến đổi xuất và nhập các đối tượng trong Corel Draw 11 /  Lê Bá An","Lê, Bá An","Thống kê,",2003
1656,000017058,"Hướng dẫn sử dụng Autocad 2000 bằng hình /  Nguyễn Quang Minh, Ngọc Huyên","Nguyễn, Quang Minh","Thống kê,",2000
1657,000017103,"Hướng dẫn sử dụng AutoCAD 2000 : Đồ họa vi tính. Lưu Triều Nguyên, Hoàng Đức Hải, Nguyễn Văn Hùng","Lưu, Triều Nguyên","Giáo dục,",2000
1658,000016206,"Hướng dẫn tự học Autocad 2000 toàn tập /  Trung Nguyên, Giang Đô","Trung Nguyên","Thống kê,",2000
1659,000016349,"Bài tập thực hành Painter 3D /  Phạm Quang Huy, Phạm Quang Huấn","Phạm, Quang Huy","Thống kê,",2001
1660,000016242,"Thiết kế 3 chiều với 3D studio Max 3 : Phương pháp ứng dụng tin học / Lưu Triều Nguyên, Hoàng Đức Hải, Nguyễn Việt Dũng","Lưu, Triều Nguyễn","Giáo dục,",2000
1661,000016919,"Thiết kế 3 chiều với 3ds Max 4 /  Lưu Triều Nguyên, Hoàng Đức Hải, Nguyễn Văn Hùng","Lưu, Triều Nguyên","Lao động - Xã hội,",2002
1662,000016221,"Tự học 3D Max /  Trí Việt, Hà Thành","Trí Việt","Văn hóa thông tin,",2009
1663,000017152,"AutoCAD R14.  Bùi Kiến Quốc","Bùi, Kiến Quốc","Thống kê,",2000
1664,000017408,"Hướng dẫn tỉ mĩ, rất trực quan, tạo nền tảng vững chắc cho kiến thức về atuCAD. 2 tập AutoCAD R14.  Bùi Kiến Quốc","Bùi, Kiến Quốc","Thống kê,",2001
1665,000008890,"AUTOCAD cho tự động hóa thiết kế /  Nguyễn Văn Hiến","Nguyễn, Văn Hiến","Giáo dục,",2005
1666,000016151,"Hướng dẫn truy cập và sử dụng lệnh - mô hình đối tượng AutoCAD R15.0 : Trên windows 95 và windows 98 / Trần Văn Minh, Hải Yến","Trần, Văn Minh","Thống kê,",1999
1667,000017225,"Cơ sở Matlab và ứng dụng /  Phạm Thị Ngọc Yến ... [và những người khác]",,"Khoa học và kỹ thuật,",2009
1668,000015649,"Cơ sở Matlab và ứng dụng /  Phạm Thị Ngọc Yến ... [và những người khác]",,"Khoa học và kỹ thuật,",1999
1669,000014001,"Cơ sở Matlab và ứng dụng /  Phạm Thị Ngọc Yến ... [và những người khác]",,"Khoa học và kỹ thuật,",2001
1670,000007078,"Cơ sở Matlab và ứng dụng /  Phạm Thị Ngọc Yên ... [và những người khác]",,"Khoa học và kỹ thuật,",2005
1671,000016322,"Hướng dẫn tự học Softimage 3D  ",SaigonBook,"Nxb. Trẻ,",2001
1672,000016668,"Xử lý hình ảnh với các kênh màu trong photoshop : 10 phút học máy tính mỗi ngày / Lê Quang Liêm",,"Thống kê,",2002
1673,000016265,"Thiết kế Flash với các thành phần dựng sẵn /  Lê Minh Hoàng, Hoàng Đức Hải, Nguyễn Trường Sinh","Nguyễn, Trường Sinh","Lao động - Xã hội,",2005
1674,000017339,"Tự học Adobe Photoshop 5.5 /  Elicom",Elicom,"Nxb. Hà Nội,",2000
1675,000017386,"Tự học Adobe Illustrator 8.0 thông qua hình ảnh /  Elicom",Elicom,"Nxb. Hà Nội,",2000
1676,000016090,"Tự học Adobe PageMaker 6.5 thông qua hình ảnh /  Elicom",Elicom,"Nxb. Hà Nội,",2000
1677,000009095,"Thiết kế ảnh 3 chiều với Autodesk Revit 2005 /  Nguyễn Ngọc Tuấn, Hồng Phúc","Nguyễn, Ngọc Tuấn","Thống kê,",2005
1678,000016905,"Bài tập thực hành Flash MX 2004 nhìn từ góc độ kỹ thuật /  Phạm Quang Huy","Phạm, Quang Huy","Thống kê,",2004
1679,000016015,"Các hiệu ứng đặc biệt trên Photoshop với KPT 3.0 /  Phạm Quang Hân, Hồ Chí Hòa, Phạm Quang Huy","Phạm, Quang Hân","Thống kê,",2001
1680,000017458,"Hướng dẫn thực hành CorelDraw 10 bằng hình /  Trần Văn Minh","Trần, Văn Minh","Thống kê,",2001
1681,000016271,"Hướng dẫn thực hành Corel Vetura 7.0 /  Đỗ Duy Việt","Đỗ, Duy Việt","Thống kê,",2000
1682,000016336,"6 kỹ năng, 65 thao tác tối ưu hóa ảnh và thiết kế trang Web chuyên nghiệp trong Photoshop CS2 /  Đăng Quang","Đăng Quang","Thống kê,",2005
1683,000016175,"CorelDRAW 12 dành cho người chuyên nghiệp /  Quang Huy, Phạm Phương Hoa","Phạm, Quang Huy","Giao thông Vận tải,",2005
1684,000016155,"3D Studio Max 2.X /  Nhóm tác giả Elicom",,"Nxb. Hà Nội,",2000
1685,000017401,"3D Studio Max 3 kỹ thuật đồ họa cao cấp /  Bùi Kiến Quốc, Nhóm tác giả Elicom","Bùi, Kiến Quốc","Thống kê,",2001
1686,000017390,"3D Studio Max 3 : Kiến thức cơ sở / Nguyễn Đức Quang","Nguyễn, Đức Quang","Thống kê,",2000
1687,000017468,"DirectX và lập trình cho Camera /  Phạm Thế Bảo ... [và những người khác]","Phạm, Thế Bảo","Lao động - Xã hội,",2005
1688,000016719,"Hướng dẫn tạo kỹ xảo phim hoạt hình và tạo ảnh động với : Macromedia Flash 2007 [9.0] : Cho người mới bắt đầu / Trần Minh Phú","Trần, Minh Phú","Giao thông Vận tải,",2007
1689,000016261,"Cẩm nang thiết kế Website /  Elicom","Nhóm tác giả Elicom","Nxb. Hà Nội,",2001
1690,000017333,"Nắm bắt Perl và CGI nhanh nhất /  Vn - Guide",VN-Guide,"Thống kê,",2002
1691,000016799,"Các kỹ thuật ứng dụng trong Flash và Dreamweaver /  Nguyễn Trường Sinh, Lê Minh Hoàng, Hoàng Đức Hải","Nguyễn, Trường Sinh","Lao động - Xã hội,",2005
1692,000017512,"Tạo website hấp dẫn với HTML, XHTML và CSS /  Nguyễn Trường Sinh ... [và những người khác]",,"Lao động - Xã hội,",2006
1693,000013698,"Instructor interactive multimedia instructional system a component of Marketing : An interactive learning system: Instructor's manual / David E. Hartman, John H. Lindgren, Terence A. Shimp","Hartman, David E.","Harcourt brace college publishers,",1996
1694,000017323,"Các thủ thuật trong Flash và Dreamweaver /  Nguyễn Trường Sinh, Lê Minh Hoàng, Hoàng Đức Hải","Nguyễn, Trường Sinh","Thống kê,",2004
1695,000008500,"Macromedia Dreamweaver 8 : Phần nâng cao / Nguyễn Trường Sinh, Lê Minh Hoàng, Hoàng Đức Hải","Nguyễn, Trường Sinh","Lao động - Xã hội,",2007
1696,000017515,"Macromedia Dreamweaver MX 2004 /  Nguyễn Trường Sinh, Lê Minh Hoàng, Hoàng Đức Hải","Nguyễn, Trường Sinh","Lao động - Xã hội,",2005
1697,000016665,"Macromedia Flash MX /  Nguyễn Trường Sinh, Bùi Thu Giang, Lê Hoàng Nhân","Nguyễn, Trường Sinh","Lao động - Xã hội,",2003
1698,000016805,"Macromedia Flash MX 2004 /  Nguyễn Trường Sinh, Lê Minh Hoàng, Hoàng Đức Hải","Nguyễn, Trường Sinh","Lao động - Xã hội,",2005
1699,000016358,"Tự học thiết kế Web 1 /  Lê Minh Hoàng","Lê, Minh Hoàng","Lao động - Xã hội,",2007
1700,000008590,"Tự học thiết kế Web 2 /  Lê Minh Hoàng","Lê, Minh Hoàng","Lao động - Xã hội,",2007
1701,000016705,"Thiết kế Web với CSS /  Lê Minh Hoàng","Lê, Minh Hoàng","Lao động - Xã hội,",2007
1702,000016669,"Tự học ASP thiết kế Website /  Trương Công Tuân, Hoàng Anh Quang","Trương, Công Tuân","Văn hóa thông tin,",2006
1703,000016671,"Thiết kế ảnh động và thiệp điện tử bằng : Macromedia Flash MX một cách nhanh chóng và hiệu quả nhất qua các chương trình mẫu / Đậu Quang Tuấn","Đậu, Quang Tuấn","Giao thông Vận tải,",2006
1704,000009172,"Thiết kế ảnh động và thiệp điện tử bằng Macromedia Flash mx một cách nhanh chóng và hiệu quả nhất /  Đậu Quang Tuấn","Đậu, Quang Tuấn","Giao thông Vận tải,",2006
1705,000017332,"Xây dựng trang Web động với ASP /  Nhóm tác giả Elicom","Nhóm tác giả Elicom","Thống kê,",2002
1706,000017086,"Xây dựng ứng dụng Web với JSP, Servlet, Java Beans : Giáo trình tin học ứng dụng / Phạm Hữu Khang, Hoàng Đức Hải","Phạm, Hữu Khang","Giáo dục,",2001
1707,000016122,"Phong cách trình bày trang Web /  Hồ Sĩ Mậu Thúc","Hồ, Sĩ Mậu Thúc","Thống kê,",2000
1708,000016716,"Thiết kế web với JavaScript và Dom /  Nguyễn Trường Sinh, Lê Minh Hoàng, Hoàng Đức Hải","Nguyễn, Trường Sinh","Phương Đông,",2007
1709,000016007,"Yahoo toàn tập /  Alan Neibauer; Lê Minh Trung biên dịch","Neibauer, Alan","Thống kê,",2001
1710,000017347,"Thiết kế trang Web ấn tượng và hiệu quả /  Trịnh Anh Toàn","Trịnh, Anh Toàn","Nxb. Trẻ,",2001
1711,000016670,"Thiết kế trang web bằng FrontPage 2003 và Xara Wetyle một cách nhanh chóng và hiệu quả nhất / : Qua các chương trình mẫu / Đậu Quang Tuấn","Đậu, Quang Tuấn","Giao thông Vận tải,",2006
1712,000009047,"Thiết kế trang Web bằng ngôn ngữ HTML /  Phạm Thị Xuân Nguyệt, Nguyễn Thế Hùng","Phạm, Thị Xuân Nguyệt","Thống kê,",2001
1713,000017186,"Microsoft FrontPage 2000 : Hướng dẫn thiết kế trang Web bằng hình / Trương Quang Thiện","Trương, Quang Thiện","Thống kê,",2000
1714,000016305,"Frontpage 2000 dành cho người bận rộn /  Trịnh Anh Toàn","Trịnh, Anh Toàn","Nxb. Trẻ,",2001
1715,000008914,"Bài tập thực hành thiết kế WEB với Macromedia Flash Coredraw Xara Wetyle Microsoft Frontpage /  Phạm Quang Huy","Phạm, Quang Huy","Thống kê,",2003
1716,000017083,"Xử lý sự cố ASP /  Vn - Guide",VN-Guide,"Thống kê,",2005
1717,000008796,"Tự học các ngôn ngữ lập trình web phổ biến.  Nguyễn Văn Khoa, Nguyễn Minh Hải","Nguyễn, Văn Khoa","Giao thông Vận tải,",2007
1718,000016062,"Trang vàng Internet những địa chỉ cần biết : Toàn tập / Nhóm tác giả Elicom",,"Thống kê,",2001
1719,000016936,"6000 địa chỉ Website Internet /  Trương Công Tuân, Ngô Quỳnh Trang","Trương, Công Tuân","Văn hóa thông tin,",2006
1720,000018899,"Bách khoa tri thức phổ thông /  Lê Huy Hoà ... [và những người khác]",,"Lao động,",2007
1721,000010594,"Từ điển bách khoa Việt Nam 1 : A - Đ / Hội đồng quốc gia chỉ đạo biên soạn","Hội đồng quốc gia chỉ đạo biên soạn từ điển bách khoa Việt Nam","Trung tâm biên soạn từ điển bách khoa Việt Nam,",1995
1722,000010008,"1000 câu danh ngôn nổi tiếng về tình yêu - cuộc sống /  Hà Nguyên","Hà, Nguyên","Văn hóa thông tin,",2009
1723,000021091,"Danh ngôn xử thế : Một nghệ thuật sống / Phan Mật","Phan, Mật","Văn nghệ,",2006
1724,000019182,"Truy tầm triết học /  Gail M. Tresday,",,"Văn hóa thông tin,",2001
1725,000019343,"Triết học trong kỷ nguyên toàn cầu /  Phạm Văn Đức ... [và những người khác]",,"Khoa học và kỹ thuật,",2007
1726,000009691,"Thế giới nội tâm đàn ông : Tâm lý / Nguyễn Hữu Thụy","Nguyễn, Hữu Thụy","Phụ nữ,",2009
1727,000019421,"Con người và phát triển con người /  Hồ Sĩ Quý","Hồ, Sĩ Quý","Giáo dục,",2007
1728,000021504,"Thiên thời địa lợi nhân hòa : Thiên thời không bằng địa lợi, địa lợi không bằng nhân hòa / Bạch Huyết, Nguyễn An, Nguyễn Văn Mậu","Bạch, Huyết","Nxb. Hà Nội,",2007
1729,000009483,"Nói chuyện với thiên đường : Những câu chuyện viễn tưởng về thế giới tâm linh / James Van Praagh; Mạnh Tuấn","Praagh, James Van","Văn hóa thông tin,",2009
1730,000021503,"Kinh dịch và nguyên lý toán nhị phân /  Hoàng Tuấn, Cẩn Chí","Hoàng, Tuấn","Khoa học và kỹ thuật,",2008
1731,000021125,"Kinh dịch : Trọn bộ / Ngô Tất Tố","Ngô, Tất Tố","Văn Học,",2008
1732,000021165,"Phong thủy đem lại sức sống cho bạn /  Lillian Too; Nguyễn Mạnh Thảo","Too, Lillian","Nxb. Trẻ,",2008
1733,000019849,"Phong thuỷ toàn tập : Nghệ thật bài trí nhà cửa theo khoa học Phương Đông / Gill Hale; Vũ Tài Hoa","Hale, Gill","Nxb. Trẻ,",2007
1734,000019506,"Chiêm tinh học là gì? /  Quốc Khanh","Quốc, Khanh","Văn hóa thông tin,",2008
1735,000009730,"Tâm lý xã hội học /  Nguyễn Thơ Sanh, Phạm Minh Hạc","Nguyễn, Thơ Sinh","Lao động,",2008
1736,000019294,"Tâm lý học đại cương /  Nguyễn Quang Uẩn, Trần Hữu Luyến, Trần Quốc Thành","Nguyễn, Quang Uẩn","Đại học Quốc gia Hà Nội,",2007
1737,000010009,"Chàng nàng và tình yêu /  Thái Sơn","Thái Sơn","Thanh niên,",2010
1738,000009318,"Cô đơn và gắn bó : Làm thế nào để cân bằng giữa mối quan hệ với mọi người và sự độc lập của bản thân? / Stephanie Dowrick","Dowrick, Stephanie","Văn hóa thông tin,",2007
1739,000020217,"Nghệ thuật chinh phục tình yêu /  Phạm Đức","Phạm, Đức","Thống kê,",1999
1740,000019977,"Từ thiếu nữ đến...phụ nữ /  Hoàng Hương, Phạm Thanh Hà","Hoàng, Hương","Phụ nữ,",1998
1741,000009301,"Cách xử thế của người nay : Winning your way with people. Chìa khóa của thành công và hạnh phúc / K. C. Ingram, Nguyễn Hiến Lê","Ingram, K.C","Văn hóa thông tin,",2002
1742,000002042,"Bí quyết thành đạt trong đời người /  David J. Schwartz ... [và những người khác]",,"Thanh niên,",2002
1743,000009901,"Phép dùng người : Dụng nhân pháp / Sở Nhật Lý; Đoàn Như Trác","Sở, Nhật Lý","Thanh niên,",2009
1744,000009529,"Quẳng gánh lo đi mà vui sống : How stop worrying and start living / Dale Carnegie; Nguyễn Hiến Lê","Carnegie, Dale","Văn hóa thông tin,",2001
1745,000020030,"Quẳng gánh lo đi và vui sống /  Dale Carnegie; Nguyễn Hiến Lê","Carnegie, Dale","Văn hóa thông tin,",2001
1746,000019695,"Yêu đương : Chuyện của muôn đời / Lê Ngọc Lan ... [và những người khác]",,"Thanh niên,",1999
1747,000021084,"Cảm hứng sống theo 7 thói quen thành đạt /  Stephen R. Covey, Trần Đăng Khoa, Nguyễn Hồng Vân","Covey, Stephen R","Phụ nữ,",2010
1748,000010002,"Nguyên tắc vàng công sở /  Ngọc Quỳnh ... [và những người khác]",,"Lao động - Xã hội,",2009
1749,000004206,"Cẩm nang dự phỏng vấn xin việc làm /  Trần Hồng Nhất","Trần, Hồng Nhất | Bộ Lao động - TBXH","Lao động,",2009
1750,000013856,"Logic học đại cương : Ấn bản mới nhất có sửa chữa bổ sung / Vương Tất Đạt",,"Đại học Quốc gia Hà Nội,",2004
1751,000016832,"Lôgic học đại cương /  Vương Tất Đạt","Vương, Tất Đạt","Đại học Quốc gia Hà Nội,",2004
1752,000002890,"Đạo đức kinh doanh và văn hóa công ty : Phương pháp môn học và phân tích tình huống / Nguyễn Mạnh Quân","Nguyễn, Mạnh Quân","Kinh tế quốc dân,",2007
1753,000018997,"Lịch sử triết học / : Từ cổ đại đến cận hiện đại / Dagobert D. Runes; Phạm Văn Liên dịch","Runes, Dagobert D.","Văn hóa thông tin,",2009
1754,000018986,"Lịch sử triết học /  Nguyễn Hữu Vui",,"Chính trị Quốc gia,",2004
1755,000019279,"Lút - Vích Phoi - Ơ - Bắc và sự cáo chung của triết học cổ điển Đức /  Friedrich Engels","Engels, Friedrich","Chính trị Quốc gia,",2004
1756,000009657,"Tìm hiểu phong thổ học qua quan niệm triết đông /  Mộng Bình Sơn","Mộng, Bình Sơn","Văn nghệ,",2006
1757,000009984,"Tứ thư /  Dương Hồng ... [và những người khác]",,"Quân đội nhân dân,",2003
1758,000009488,"Lịch sử tư tưởng Việt Nam : Văn Tuyển. Trần Nguyên Việt ... [và những người khác]",,"Chính trị Quốc gia,",2002
1759,000009819,"Đầu xuân đi chùa lễ phật /  Hà Duy Nguyễn Hữu","Hà, Duy Nguyễn Hữu | Nhóm Quảng Văn","Nxb. Hà Nội,",2009
1760,000019514,"Thiền : Năng lượng tình thương / Đoàn Hải An","Đoàn, Hải An","Văn hóa thông tin,",2006
1761,000020067,"Làm nên những kỳ tích /  Kim Kiến Quốc; Nguyễn Đại","Kim, Kiến Quốc","Phụ nữ,",2001
1762,000006272,"Nghiên cứu con người và nguồn nhân lực đi vào công nghiệp hóa, hiện đại hóa /  Phạm Minh Hạc","Phạm, Minh Hạc","Chính trị Quốc gia,",2001
1763,000020070,"Tình yêu câu đố cuộc đời /  Đoàn Xuân Mượu","Đoàn, Xuân Mượu","Thanh niên,",1999
1764,000006271,"Tri thức thông tin và phát triển /  Bùi Biên Hòa, ... [và những người khác]",,"Thông tin khoa học xã hội chuyên đề,",2000
1765,000012351,"Thế giới đa chiều : Lý thuyết và kinh nghiệm nghiên cứu khu vực / Lương Văn Kế","Lương, Văn Kế","Thế giới,",2007
1766,000009560,"Phụ nữ và quyền lãnh đạo /  Barbara Kellerman, ... [ Và những người bạn]","Kellerman, Barbara","Tổng hợp Đồng Nai,",2009
1767,000019776,"Phụ nữ và quyền lãnh đạo /  Barbara Kellerman ... [và những người khác]",,"Tổng hợp Đồng Nai,",2007
1768,000020097,"Bách khoa phụ nữ trẻ /  Tam Vũ ... [và những người khác]",,"Phụ nữ,",1999
1769,000009582,"Giới và dự án phát triển /  Lê Thị Chiêu Nghi","Lê, Thị Chiêu Nghi","Tổng hợp TP HCM,",2001
1770,000021158,"54 dân tộc Việt Nam /  Vũ Khánh, ..[ Và những người khác]",,"Thông tấn,",2008
1771,000009518,"Việt Nam văn hóa sử cương /  Đào Duy Anh","Đào, Duy Anh","Văn hóa thông tin,",2006
1772,000009648,"Việt Nam văn hóa sử cương /  Đào Duy Anh","Đào, Duy Anh","Thời Đại,",2010
1773,000019758,"Văn hóa Việt Nam trước xu thế toàn cầu hóa - thời cơ và thách thức /  Thành Duy","Thành Duy","Văn hóa thông tin,",2007
1774,000010986,"Bản sắc văn hóa Việt Nam /  Phan Ngọc","Phan, Ngọc","Văn Học,",2006
1775,000009771,"Bản sắc văn hóa Việt Nam /  Phan Ngọc","Phan, Ngọc","Văn Học,",2002
1776,000019242,"Xây dựng môi trường văn hóa ở nước ta hiện nay từ góc nhìn giá trị học /  Đỗ Huy","Đỗ, Huy","Văn hóa thông tin,",2001
1777,000009226,"Cơ sở văn hóa Việt Nam /  Trần Ngọc Thêm","Trần, Ngọc Thêm","Giáo dục,",2000
1778,000002900,"Văn hóa kinh doanh /  Dương Thị Liễu chủ biên ... [và những người khác]",,"Kinh tế quốc dân,",2009
1779,000002752,"""Sốc"" văn hóa /  Nguyễn Thị Ngọc Hải","Nguyễn, Thị Ngọc Hải","Phụ nữ,",2010
1780,000009843,"Lạc lối : Nữ sinh viên 19 tuổi, nghề kiếm sống: Gái mại dâm / Laura D; Huy Minh","D, Laura","Phụ nữ,",2009
1781,000006705,"Giao thông trong quy hoạch đô thị /  Hồ Ngọc Hùng","Hồ, Ngọc Hùng","Khoa học và kỹ thuật,",2009
1782,000001999,"Phương pháp luận về 2 hệ thống thống kê kinh tế MPS - SNA /  Nguyễn Văn Chỉnh","Nguyễn, Văn Chỉnh","Thống kê,",2001
1783,000002468,"Bảng cân đối liên ngành : Input - output: I/O của Việt Nam năm 2007 / Bùi Bá Cường ... [và những người khác]","Bộ Kế hoạch và Đầu tư-Tổng cục Thống kê","Thống kê,",2010
1784,000012110,"Số liệu thống kê Việt Nam thế kỷ XX.  Tổng cục thống kê","Tổng cục Thống kê","Thống kê,",2004
